timestamp,distance_m,yaw_deg
1758890375.0130424,0.16,-127.04
1758890375.0633352,0.15,-131.99
1758890375.113625,0.13,-137.38
1758890375.1638994,0.12,-142.34
1758890375.2141826,0.12,-146.38
1758890375.264481,0.12,-149.09
1758890375.3147485,0.11,-150.44
1758890375.3650372,0.11,-151.79
1758890375.415318,0.11,-153.13
1758890375.4656208,0.11,-154.49
1758890375.515896,0.11,-155.38
1758890375.566225,0.11,-156.29
1758890375.616688,0.11,-157.19
1758890375.6669831,0.11,-157.63
1758890375.7172678,0.11,-160.49
1758890375.7675707,0.11,-160.03
1758890375.8179893,0.11,-159.13
1758890375.868414,0.11,-158.24
1758890375.9186954,0.11,-157.33
1758890375.9689794,0.11,-156.44
1758890376.0193796,0.11,-155.53
1758890376.0697868,0.11,-154.19
1758890376.1201797,0.11,-152.83
1758890376.170622,0.11,-151.03
1758890376.2210162,0.12,-148.33
1758890376.2714229,0.12,-143.83
1758890376.321694,0.13,-138.88
1758890376.371959,0.14,-133.49
1758890376.4224114,0.16,-128.54
1758890376.4728665,0.18,-123.13
1758890376.5232587,0.18,-118.19
1758890376.5737529,0.17,-112.79
1758890376.624162,0.16,-107.83
1758890376.6746569,0.16,-102.44
1758890376.7250974,0.15,-97.48
1758890376.7755706,0.15,-92.08
1758890376.8259778,0.15,-87.13
1758890376.8764145,0.15,-81.73
1758890376.926739,0.15,-76.78
1758890376.9772148,0.15,-71.38
1758890377.0276232,0.15,-66.43
1758890377.078134,0.16,-61.04
1758890377.128564,0.17,-56.09
1758890377.1789954,0.17,-50.69
1758890377.2294261,0.14,-45.74
1758890377.2798927,0.13,-40.33
1758890377.3302684,0.11,-35.39
1758890377.3806071,0.11,-29.99
1758890377.431002,0.1,-25.04
1758890377.481436,0.1,-19.64
1758890377.5318394,0.1,-14.69
1758890377.582297,0.09,-9.28
1758890377.6326241,0.09,-4.34
1758890377.6831295,0.09,0.59
1758890377.733388,0.09,6.0
1758890377.783614,0.09,10.95
1758890377.833929,0.09,16.34
1758890377.884234,0.09,21.3
1758890377.9345343,0.1,26.7
1758890377.9848573,0.1,31.64
1758890378.0351849,0.1,37.05
1758890378.0854924,0.11,41.99
1758890378.135808,0.11,47.4
1758890378.1861236,0.12,52.35
1758890378.2364266,0.14,57.74
1758890378.286788,0.17,62.69
1758890378.3371632,0.18,68.1
1758890378.3874943,0.17,73.05
1758890378.4378011,0.16,78.45
1758890378.4880989,0.16,83.4
1758890378.5384104,0.15,88.8
1758890378.5886307,0.15,93.75
1758890378.6388476,0.15,99.15
1758890378.6890686,0.16,104.1
1758890378.7392979,0.16,109.5
1758890378.7895405,0.16,114.45
1758890378.8397658,0.17,119.85
1758890378.8899965,0.18,124.8
1758890378.940223,0.19,130.2
1758890378.9904675,0.18,135.14
1758890379.0406902,0.16,140.55
1758890379.0909507,0.14,145.05
1758890379.141195,0.14,148.2
1758890379.1914923,0.13,150.0
